,Date,Price,tfIdf
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
88,2022-10-21,"4,298.90","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
89,2022-10-22,"4,298.90","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
5,2022-10-23,"4,350.04","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
4,2022-10-24,"4,350.99","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
3,2022-10-25,"4,341.87","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
2,2022-10-26,"4,283.98","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
1,2022-10-27,"4,212.53","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
90,2022-10-28,"4,212.53","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
91,2022-10-29,"4,212.53","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
0,2022-10-30,"4,330.49","  (0, 13)	0.2215151590223728
  (0, 24)	0.2215151590223728
  (0, 77)	0.2215151590223728
  (0, 39)	0.2215151590223728
  (0, 50)	0.2215151590223728
  (0, 0)	0.2215151590223728
  (0, 23)	0.2215151590223728
  (0, 46)	0.2215151590223728
  (0, 31)	0.2215151590223728
  (0, 78)	0.2215151590223728
  (0, 1)	0.2215151590223728
  (0, 93)	0.2215151590223728
  (0, 67)	0.2215151590223728
  (0, 62)	0.2215151590223728
  (0, 87)	0.1364576361581044
  (0, 105)	0.2215151590223728
  (0, 85)	0.2215151590223728
  (0, 76)	0.2215151590223728
  (0, 54)	0.2215151590223728
  (0, 66)	0.2215151590223728
  (0, 72)	0.2215151590223728
  (1, 2)	0.3535533905932738
  (1, 35)	0.3535533905932738
  (1, 106)	0.3535533905932738
  (1, 40)	0.3535533905932738
  :	:
  (4, 68)	0.14575877751755623
  (4, 52)	0.29151755503511245
  (4, 75)	0.14575877751755623
  (4, 55)	0.14575877751755623
  (4, 6)	0.14575877751755623
  (4, 22)	0.14575877751755623
  (4, 51)	0.14575877751755623
  (4, 104)	0.14575877751755623
  (4, 97)	0.14575877751755623
  (4, 10)	0.12099230300091944
  (4, 87)	0.08979023520160948
  (5, 80)	0.376128011922161
  (5, 30)	0.376128011922161
  (5, 94)	0.376128011922161
  (5, 18)	0.376128011922161
  (5, 29)	0.376128011922161
  (5, 69)	0.376128011922161
  (5, 92)	0.3122185515046472
  (5, 87)	0.23170215359645693
  (6, 98)	0.43115145415870854
  (6, 100)	0.43115145415870854
  (6, 37)	0.43115145415870854
  (6, 74)	0.43115145415870854
  (6, 27)	0.43115145415870854
  (6, 87)	0.2655976616692157"
